Oly contig	SPID	SPID evalue	Gene Name
Ostrea_lur_contig10074	Q5ZJK8	0	TCPH_CHICK T-complex protein 1 subunit eta OS=Gallus gallus GN=CCT7 PE=1 SV=1
Ostrea_lur_contig1008	Q13247	2.00E-21	"SFRS6_HUMAN Splicing factor, arginine/serine-rich 6 OS=Homo sapiens GN=SFRS6 PE=1 SV=2"
Ostrea_lur_contig10081	Q7DMN9	1.00E-43	CALM5_SOLTU Calmodulin-5/6/7/8 OS=Solanum tuberosum GN=PCM5 PE=1 SV=3
Ostrea_lur_contig10082	Q8TDY8	4.00E-05	IGDC4_HUMAN Immunoglobulin superfamily DCC subclass member 4 OS=Homo sapiens GN=IGDCC4 PE=2 SV=1
Ostrea_lur_contig10088	Q5ZIH0	0	INT11_CHICK Integrator complex subunit 11 OS=Gallus gallus GN=CPSF3L PE=2 SV=1
Ostrea_lur_contig10089	P89116	7.00E-08	CASP1_SPOFR Caspase-1 OS=Spodoptera frugiperda PE=1 SV=1
Ostrea_lur_contig1009	Q8TE73	0	"DYH5_HUMAN Dynein heavy chain 5, axonemal OS=Homo sapiens GN=DNAH5 PE=1 SV=3"
Ostrea_lur_contig10090	P19073	1.00E-73	CDC42_YEAST Cell division control protein 42 OS=Saccharomyces cerevisiae GN=CDC42 PE=1 SV=2
Ostrea_lur_contig10097	Q5RCU0	1.00E-18	TF2AA_PONAB Transcription initiation factor IIA subunit 1 OS=Pongo abelii GN=GTF2A1 PE=2 SV=1
Ostrea_lur_contig10098	Q587K4	7.00E-58	CF154_RAT Uncharacterized protein C6orf154 homolog OS=Rattus norvegicus GN=Nod3l PE=2 SV=1
Ostrea_lur_contig10099	Q2TA11	5.00E-34	CA158_BOVIN Uncharacterized protein C1orf158 homolog OS=Bos taurus PE=2 SV=1
Ostrea_lur_contig101	Q5ZME2	1.00E-147	"MDHC_CHICK Malate dehydrogenase, cytoplasmic OS=Gallus gallus GN=MDH1 PE=2 SV=1"
Ostrea_lur_contig10100	Q60675	4.00E-53	LAMA2_MOUSE Laminin subunit alpha-2 OS=Mus musculus GN=Lama2 PE=1 SV=1
Ostrea_lur_contig10101	Q6QHC5	5.00E-119	DEGS2_HUMAN Sphingolipid delta(4)-desaturase/C4-hydroxylase DES2 OS=Homo sapiens GN=DEGS2 PE=2 SV=2
Ostrea_lur_contig10103	Q54HX8	7.00E-24	LITAH_DICDI Protein LITAF homolog OS=Dictyostelium discoideum GN=litaf PE=3 SV=1
Ostrea_lur_contig10117	Q3MHQ7	1.00E-20	TM86A_BOVIN Transmembrane protein 86A OS=Bos taurus GN=TMEM86A PE=2 SV=1
Ostrea_lur_contig1012	Q62420	1.00E-46	SH3G2_MOUSE Endophilin-A1 OS=Mus musculus GN=Sh3gl2 PE=1 SV=2
Ostrea_lur_contig10120	O75592	0	MYCB2_HUMAN Probable E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens GN=MYCBP2 PE=1 SV=3
Ostrea_lur_contig10125	Q96HV5	4.00E-73	TM41A_HUMAN Transmembrane protein 41A OS=Homo sapiens GN=TMEM41A PE=2 SV=1
Ostrea_lur_contig10129	Q6ZMW3	1.00E-32	EMAL6_HUMAN Echinoderm microtubule-associated protein-like 6 OS=Homo sapiens GN=EML6 PE=2 SV=2
Ostrea_lur_contig10132	O75665	3.00E-90	OFD1_HUMAN Oral-facial-digital syndrome 1 protein OS=Homo sapiens GN=OFD1 PE=1 SV=1
Ostrea_lur_contig10133	Q2T9J0	2.00E-20	TYSD1_HUMAN Peroxisomal leader peptide-processing protease OS=Homo sapiens GN=TYSND1 PE=2 SV=3
Ostrea_lur_contig10139	P51592	2.00E-51	HYD_DROME E3 ubiquitin-protein ligase hyd OS=Drosophila melanogaster GN=hyd PE=1 SV=3
Ostrea_lur_contig10145	P46019	5.00E-56	"KPB2_HUMAN Phosphorylase b kinase regulatory subunit alpha, liver isoform OS=Homo sapiens GN=PHKA2 PE=1 SV=1"
Ostrea_lur_contig10148	Q5ZLF0	7.00E-18	F10A1_CHICK Hsc70-interacting protein OS=Gallus gallus GN=ST13 PE=2 SV=1
Ostrea_lur_contig10149	Q8BRH4	3.00E-22	MLL3_MOUSE Histone-lysine N-methyltransferase MLL3 OS=Mus musculus GN=Mll3 PE=2 SV=2
Ostrea_lur_contig10150	Q5ZHN3	0	WIPI2_CHICK WD repeat domain phosphoinositide-interacting protein 2 OS=Gallus gallus GN=WIPI2 PE=2 SV=1
Ostrea_lur_contig10154	Q13105	7.00E-12	ZBT17_HUMAN Zinc finger and BTB domain-containing protein 17 OS=Homo sapiens GN=ZBTB17 PE=1 SV=3
Ostrea_lur_contig10156	Q96RU3	1.00E-46	FNBP1_HUMAN Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=2
Ostrea_lur_contig10161	Q7ZUC7	4.00E-67	PGES2_DANRE Prostaglandin E synthase 2 OS=Danio rerio GN=ptges2 PE=2 SV=1
Ostrea_lur_contig10163	Q9NVX2	0	NLE1_HUMAN Notchless protein homolog 1 OS=Homo sapiens GN=NLE1 PE=1 SV=3
Ostrea_lur_contig10167	Q1LUA6	3.00E-81	TRIO_DANRE Triple functional domain protein OS=Danio rerio GN=trio PE=3 SV=1
Ostrea_lur_contig10172	Q6Y7W8	7.00E-30	PERQ2_MOUSE PERQ amino acid-rich with GYF domain-containing protein 2 OS=Mus musculus GN=Gigyf2 PE=1 SV=2
Ostrea_lur_contig10173	Q0P5W1	2.00E-22	VPS8_MOUSE Vacuolar protein sorting-associated protein 8 homolog OS=Mus musculus GN=Vps8 PE=2 SV=1
Ostrea_lur_contig10179	Q8TCF1	3.00E-56	ZFAN1_HUMAN AN1-type zinc finger protein 1 OS=Homo sapiens GN=ZFAND1 PE=1 SV=1
Ostrea_lur_contig1018	P36633	6.00E-16	ABP1_RAT Amiloride-sensitive amine oxidase [copper-containing] OS=Rattus norvegicus GN=Abp1 PE=2 SV=1
Ostrea_lur_contig10183	Q6DHC3	4.00E-111	S2540_DANRE Solute carrier family 25 member 40 OS=Danio rerio GN=slc25a40 PE=2 SV=1
Ostrea_lur_contig10188	P56564	2.00E-155	EAA1_MOUSE Excitatory amino acid transporter 1 OS=Mus musculus GN=Slc1a3 PE=1 SV=2
Ostrea_lur_contig1019	Q9DAZ9	5.00E-61	ZFY19_MOUSE Zinc finger FYVE domain-containing protein 19 OS=Mus musculus GN=Zfyve19 PE=1 SV=1
Ostrea_lur_contig102	Q5W041	0	ARMC3_HUMAN Armadillo repeat-containing protein 3 OS=Homo sapiens GN=ARMC3 PE=2 SV=2
Ostrea_lur_contig10200	O15118	2.00E-23	NPC1_HUMAN Niemann-Pick C1 protein OS=Homo sapiens GN=NPC1 PE=1 SV=2
Ostrea_lur_contig10201	P42125	2.00E-60	"D3D2_MOUSE 3,2-trans-enoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Dci PE=2 SV=1"
Ostrea_lur_contig10203	Q3UCV8	9.00E-57	F105B_MOUSE Protein FAM105B OS=Mus musculus GN=Fam105b PE=2 SV=1
Ostrea_lur_contig10204	P28072	9.00E-90	PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4
Ostrea_lur_contig10207	P18730	2.00E-24	ZG58_XENLA Gastrula zinc finger protein XlCGF58.1 (Fragment) OS=Xenopus laevis PE=3 SV=1
Ostrea_lur_contig10214	Q8N806	1.00E-109	UBR7_HUMAN Putative E3 ubiquitin-protein ligase UBR7 OS=Homo sapiens GN=UBR7 PE=1 SV=2
Ostrea_lur_contig10215	Q8BXQ6	8.00E-15	AMPO_MOUSE Aminopeptidase O OS=Mus musculus GN=Aopep PE=2 SV=2
Ostrea_lur_contig10216	Q62261	5.00E-88	"SPTB2_MOUSE Spectrin beta chain, brain 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2"
Ostrea_lur_contig10218	Q80W14	4.00E-26	PR40B_MOUSE Pre-mRNA-processing factor 40 homolog B OS=Mus musculus GN=Prpf40b PE=2 SV=2
Ostrea_lur_contig10221	Q9UK41	3.00E-93	VPS28_HUMAN Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens GN=VPS28 PE=1 SV=1
Ostrea_lur_contig10225	Q6P5D4	5.00E-122	CP135_MOUSE Centrosomal protein of 135 kDa OS=Mus musculus GN=Cep135 PE=1 SV=1
Ostrea_lur_contig10226	Q01528	2.00E-38	HAAF_LIMPO Hemagglutinin/amebocyte aggregation factor OS=Limulus polyphemus PE=1 SV=1
Ostrea_lur_contig10227	Q9UPX8	1.00E-16	SHAN2_HUMAN SH3 and multiple ankyrin repeat domains protein 2 OS=Homo sapiens GN=SHANK2 PE=1 SV=3
Ostrea_lur_contig10228	Q13772	6.00E-16	NCOA4_HUMAN Nuclear receptor coactivator 4 OS=Homo sapiens GN=NCOA4 PE=1 SV=1
Ostrea_lur_contig10230	P35251	3.00E-73	RFC1_HUMAN Replication factor C subunit 1 OS=Homo sapiens GN=RFC1 PE=1 SV=4
Ostrea_lur_contig10231	Q9UQ07	6.00E-152	MOK_HUMAN MAPK/MAK/MRK overlapping kinase OS=Homo sapiens GN=RAGE PE=1 SV=1
Ostrea_lur_contig10233	Q5PR73	4.00E-33	DIRA2_MOUSE GTP-binding protein Di-Ras2 OS=Mus musculus GN=Diras2 PE=2 SV=1
Ostrea_lur_contig10234	Q6DFR0	3.00E-59	TOLIP_XENTR Toll-interacting protein OS=Xenopus tropicalis GN=tollip PE=2 SV=1
Ostrea_lur_contig10239	Q91ZX1	1.00E-07	C209A_MOUSE CD209 antigen-like protein A OS=Mus musculus GN=Cd209a PE=2 SV=1
Ostrea_lur_contig10244	Q71RI9	3.00E-77	KAT3_MOUSE Kynurenine--oxoglutarate transaminase 3 OS=Mus musculus GN=Ccbl2 PE=1 SV=1
Ostrea_lur_contig10249	O55057	7.00E-34	"PDE6D_MOUSE Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta OS=Mus musculus GN=Pde6d PE=2 SV=1"
Ostrea_lur_contig10257	Q8WPJ2	2.00E-82	"MANA_MYTED Mannan endo-1,4-beta-mannosidase OS=Mytilus edulis PE=1 SV=1"
Ostrea_lur_contig1026	Q9BYW2	3.00E-49	SETD2_HUMAN Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens GN=SETD2 PE=1 SV=2
Ostrea_lur_contig10261	Q5S6V2	1.00E-05	TAU_PONPY Microtubule-associated protein tau OS=Pongo pygmaeus GN=MAPT PE=3 SV=3
Ostrea_lur_contig10264	P51399	3.00E-45	LOX5_MESAU Arachidonate 5-lipoxygenase OS=Mesocricetus auratus GN=ALOX5 PE=2 SV=2
Ostrea_lur_contig10265	A2RUS2	1.00E-05	DEND3_HUMAN DENN domain-containing protein 3 OS=Homo sapiens GN=DENND3 PE=2 SV=2
Ostrea_lur_contig10267	Q9WVE8	1.00E-123	PACN2_MOUSE Protein kinase C and casein kinase substrate in neurons protein 2 OS=Mus musculus GN=Pacsin2 PE=2 SV=1
Ostrea_lur_contig1027	P18293	7.00E-130	ANPRA_MOUSE Atrial natriuretic peptide receptor A OS=Mus musculus GN=Npr1 PE=2 SV=2
Ostrea_lur_contig10271	P47748	2.00E-06	OPRX_CAVPO Nociceptin receptor OS=Cavia porcellus GN=OPRL1 PE=2 SV=1
Ostrea_lur_contig10272	O43301	6.00E-23	HS12A_HUMAN Heat shock 70 kDa protein 12A OS=Homo sapiens GN=HSPA12A PE=1 SV=2
Ostrea_lur_contig10276	Q62941	2.00E-97	ZNT2_RAT Zinc transporter 2 OS=Rattus norvegicus GN=Slc30a2 PE=2 SV=1
Ostrea_lur_contig1028	Q811U3	9.00E-06	RB6I2_RAT ELKS/RAB6-interacting/CAST family member 1 OS=Rattus norvegicus GN=Erc1 PE=1 SV=1
Ostrea_lur_contig10282	Q29S00	2.00E-21	OSCP1_BOVIN Protein OSCP1 OS=Bos taurus GN=OSCP1 PE=2 SV=1
Ostrea_lur_contig10284	Q5M9N0	1.00E-64	CD158_HUMAN Coiled-coil domain-containing protein 158 OS=Homo sapiens GN=CCDC158 PE=2 SV=2
Ostrea_lur_contig10297	Q932C5	3.00E-05	CLFA_STAAM Clumping factor A OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) GN=clfA PE=3 SV=1
Ostrea_lur_contig10306	Q63603	2.00E-95	DOCK9_RAT Dedicator of cytokinesis protein 9 (Fragment) OS=Rattus norvegicus GN=Dock9 PE=2 SV=2
Ostrea_lur_contig10308	P50867	7.00E-125	CYSK_EMENI Cysteine synthase OS=Emericella nidulans GN=cysB PE=3 SV=2
Ostrea_lur_contig10309	Q49LS8	6.00E-20	XKR6_TETNG XK-related protein 6 OS=Tetraodon nigroviridis GN=xkr6 PE=2 SV=1
Ostrea_lur_contig10311	P82596	1.00E-26	PLC_HALLA Perlucin OS=Haliotis laevigata PE=1 SV=3
Ostrea_lur_contig10312	Q4PJX1	2.00E-71	ODR4_MOUSE Protein odr-4 homolog OS=Mus musculus GN=Odr4 PE=2 SV=2
Ostrea_lur_contig10313	Q5ZMJ9	3.00E-15	SRRM1_CHICK Serine/arginine repetitive matrix protein 1 OS=Gallus gallus GN=SRRM1 PE=2 SV=1
Ostrea_lur_contig10314	Q9NQH7	1.00E-73	XPP3_HUMAN Probable Xaa-Pro aminopeptidase 3 OS=Homo sapiens GN=XPNPEP3 PE=1 SV=1
Ostrea_lur_contig10315	Q6GYP7	3.00E-114	RGPA1_MOUSE Ral GTPase-activating protein alpha subunit 1 OS=Mus musculus GN=Ralgapa1 PE=1 SV=1
Ostrea_lur_contig10325	Q99570	2.00E-13	PI3R4_HUMAN Phosphoinositide 3-kinase regulatory subunit 4 OS=Homo sapiens GN=PIK3R4 PE=1 SV=3
Ostrea_lur_contig10326	Q26474	3.00E-31	LACH_SCHAM Lachesin OS=Schistocerca americana GN=LAC PE=1 SV=1
Ostrea_lur_contig10330	Q5ZL33	1.00E-145	STRAP_CHICK Serine-threonine kinase receptor-associated protein OS=Gallus gallus GN=STRAP PE=2 SV=2
Ostrea_lur_contig10331	Q6A065	1.00E-08	CE170_MOUSE Centrosomal protein of 170 kDa OS=Mus musculus GN=Cep170 PE=1 SV=2
Ostrea_lur_contig10339	Q64701	5.00E-24	RBL1_MOUSE Retinoblastoma-like protein 1 OS=Mus musculus GN=Rbl1 PE=1 SV=2
Ostrea_lur_contig10340	Q6NTV6	5.00E-17	INF2_XENLA Inverted formin-2 OS=Xenopus laevis GN=inf2 PE=2 SV=1
Ostrea_lur_contig10342	O60478	1.00E-100	G137B_HUMAN Integral membrane protein GPR137B OS=Homo sapiens GN=GPR137B PE=2 SV=1
Ostrea_lur_contig10344	Q9NWY4	2.00E-84	CD027_HUMAN UPF0609 protein C4orf27 OS=Homo sapiens GN=C4orf27 PE=1 SV=1
Ostrea_lur_contig10350	P37880	2.00E-175	"SYRC_CRILO Arginyl-tRNA synthetase, cytoplasmic OS=Cricetulus longicaudatus GN=RARS PE=3 SV=1"
Ostrea_lur_contig10351	Q8BKZ9	2.00E-116	"ODPX_MOUSE Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus GN=Pdhx PE=2 SV=1"
Ostrea_lur_contig10352	Q21434	1.00E-60	NRAML_CAEEL NRAMP-like transporter smf-1 OS=Caenorhabditis elegans GN=smf-1 PE=2 SV=2
Ostrea_lur_contig10354	P55214	6.00E-25	CASP7_MESAU Caspase-7 OS=Mesocricetus auratus GN=CASP7 PE=1 SV=1
Ostrea_lur_contig10357	Q8K4Z5	5.00E-14	SF3A1_MOUSE Splicing factor 3 subunit 1 OS=Mus musculus GN=Sf3a1 PE=1 SV=1
Ostrea_lur_contig10360	Q4R3B7	1.00E-05	SLNL1_MACFA Schlafen-like protein 1 OS=Macaca fascicularis GN=SLFNL1 PE=2 SV=1
Ostrea_lur_contig10361	Q9CQH8	9.00E-16	RPP14_MOUSE Ribonuclease P protein subunit p14 OS=Mus musculus GN=Rpp14 PE=2 SV=1
Ostrea_lur_contig10362	Q460N5	8.00E-14	PAR14_HUMAN Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=2
Ostrea_lur_contig10364	P35419	4.00E-44	PERT_MOUSE Thyroid peroxidase OS=Mus musculus GN=Tpo PE=2 SV=1
Ostrea_lur_contig1037	Q8TC12	1.00E-53	RDH11_HUMAN Retinol dehydrogenase 11 OS=Homo sapiens GN=RDH11 PE=1 SV=2
Ostrea_lur_contig10370	Q96HW7	3.00E-18	INT4_HUMAN Integrator complex subunit 4 OS=Homo sapiens GN=INTS4 PE=1 SV=2
Ostrea_lur_contig10371	Q5EAE3	6.00E-68	UBTD2_BOVIN Ubiquitin domain-containing protein 2 OS=Bos taurus GN=UBTD2 PE=2 SV=1
Ostrea_lur_contig10372	Q5HZM1	4.00E-44	EIF1A_XENLA Probable RNA-binding protein EIF1AD OS=Xenopus laevis GN=eif1ad PE=2 SV=1
Ostrea_lur_contig10373	O33752	1.00E-07	Y175_SYNP2 Uncharacterized protein SYNPCC7002_A0175 OS=Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) GN=SYNPCC7002_A0175 PE=4 SV=1
Ostrea_lur_contig10375	Q9HAJ7	8.00E-69	SP30L_HUMAN Histone deacetylase complex subunit SAP30L OS=Homo sapiens GN=SAP30L PE=1 SV=1
Ostrea_lur_contig10376	Q8VHS2	6.00E-14	CRUM1_MOUSE Crumbs homolog 1 OS=Mus musculus GN=Crb1 PE=1 SV=2
Ostrea_lur_contig10379	Q12769	2.00E-16	NU160_HUMAN Nuclear pore complex protein Nup160 OS=Homo sapiens GN=NUP160 PE=1 SV=3
Ostrea_lur_contig1038	O43736	5.00E-12	ITM2A_HUMAN Integral membrane protein 2A OS=Homo sapiens GN=ITM2A PE=1 SV=2
Ostrea_lur_contig10380	Q684R7	5.00E-56	FREM1_MOUSE FRAS1-related extracellular matrix protein 1 OS=Mus musculus GN=Frem1 PE=1 SV=1
Ostrea_lur_contig10383	P36916	4.00E-150	GNL1_MOUSE Guanine nucleotide-binding protein-like 1 OS=Mus musculus GN=Gnl1 PE=1 SV=3
Ostrea_lur_contig10385	Q9BTW9	1.00E-120	TBCD_HUMAN Tubulin-specific chaperone D OS=Homo sapiens GN=TBCD PE=1 SV=1
Ostrea_lur_contig10391	Q6WKZ8	4.00E-165	UBR2_MOUSE E3 ubiquitin-protein ligase UBR2 OS=Mus musculus GN=Ubr2 PE=1 SV=2
Ostrea_lur_contig10394	A8MZA4	2.00E-13	GG6L6_HUMAN Putative golgin subfamily A member 6-like protein 6 OS=Homo sapiens PE=5 SV=2
Ostrea_lur_contig10395	A6H7B5	0	CSN3_BOVIN COP9 signalosome complex subunit 3 OS=Bos taurus GN=COPS3 PE=2 SV=1
Ostrea_lur_contig10398	O00628	3.00E-131	PEX7_HUMAN Peroxisomal targeting signal 2 receptor OS=Homo sapiens GN=PEX7 PE=1 SV=1
Ostrea_lur_contig1040	P69566	0	RANB9_MOUSE Ran-binding protein 9 OS=Mus musculus GN=Ranbp9 PE=1 SV=1
Ostrea_lur_contig10402	Q8BKF1	9.00E-150	"RPOM_MOUSE DNA-directed RNA polymerase, mitochondrial OS=Mus musculus GN=Polrmt PE=2 SV=1"
Ostrea_lur_contig10404	Q95JT3	1.00E-24	LRC43_MACFA Leucine-rich repeat-containing protein 43 OS=Macaca fascicularis GN=LRRC43 PE=2 SV=1
Ostrea_lur_contig10408	Q5T2R2	9.00E-122	DPS1_HUMAN Decaprenyl-diphosphate synthase subunit 1 OS=Homo sapiens GN=PDSS1 PE=1 SV=1
Ostrea_lur_contig10409	Q6NRS1	9.00E-108	IBTK_XENLA Inhibitor of Bruton tyrosine kinase OS=Xenopus laevis GN=ibtk PE=2 SV=1
Ostrea_lur_contig10410	Q3ZCV2	3.00E-43	CA177_HUMAN Uncharacterized protein C1orf177 OS=Homo sapiens GN=C1orf177 PE=2 SV=3
Ostrea_lur_contig10411	Q6GPW2	2.00E-35	SMO2B_XENLA Small ubiquitin-related modifier 2-B OS=Xenopus laevis GN=sumo2-B PE=3 SV=1
Ostrea_lur_contig10413	Q24307	3.00E-46	IAP2_DROME Apoptosis 2 inhibitor OS=Drosophila melanogaster GN=Iap2 PE=2 SV=3
Ostrea_lur_contig10414	P46822	1.00E-09	KLC_CAEEL Kinesin light chain OS=Caenorhabditis elegans GN=klc-2 PE=1 SV=2
Ostrea_lur_contig1042	Q08E52	3.00E-117	PAK1_BOVIN Serine/threonine-protein kinase PAK 1 OS=Bos taurus GN=PAK1 PE=2 SV=1
Ostrea_lur_contig10420	P18428	2.00E-48	LBP_HUMAN Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3
Ostrea_lur_contig10422	Q16959	2.00E-37	"DYI2_ANTCR Dynein intermediate chain 2, ciliary OS=Anthocidaris crassispina PE=2 SV=1"
Ostrea_lur_contig10424	Q95KD7	2.00E-26	K1407_MACFA Coiled-coil domain-containing protein KIAA1407 homolog OS=Macaca fascicularis GN=QflA-14927 PE=2 SV=1
Ostrea_lur_contig10425	O75970	3.00E-161	MPDZ_HUMAN Multiple PDZ domain protein OS=Homo sapiens GN=MPDZ PE=1 SV=1
